,cannibals,angelfish,trinidado,summer_isles,summer_islands,barbados,islands,somer,somers,sommer,guiana,bahamas,caribs,tobago,morequito,guianian,berreo,sugarcane,trinidad,guyana,bermuda,amazon,cannibal,west_indies,tobacco,sugar,island,shipwreck,summer
A01617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,8.838398335,0,7.918448438
A01883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.561491616,0,3.971528672,5.930899289,0,6.386215499,5.385860158,6.290917424
A01933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.660103905,0,0,0,3.971528672,5.930899289,0,2.676206089,0,0
A02727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,2.676206089,2.566391223,0
A02834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,2.676206089,4.345278063,3.615673446
A04127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,0,0
A04222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,3.502884662,0,2.676206089,0,0
A04691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8284767,0,0,3.971528672,7.351196798,0,7.883862678,5.385860158,8.307791561
A04763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.448794811,0,0,3.971528672,0,3.06397162,6.98339363,0,5.961732503
A05105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.561491616,4.111290614,3.971528672,0,11.7448569,6.98339363,7.164746998,10.06571523
A06411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.413875707,0,0,0,0,0,3.971528672,0,0,8.838398335,7.903051744,5.57238938
A07768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.561491616,0,3.971528672,0,3.06397162,8.838398335,7.903051744,5.961732503
A07834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88506172,0,3.971528672,5.930899289,12.39230197,18.21194364,6.696838555,12.2306934
A08356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.111290614,3.971528672,0,0,0,5.385860158,5.095871909
A08377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,0,0
A08402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,0,0
A08691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,0,0
A10589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,0,0
A10690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,5.616318985,0,0
A10706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785267048,0,0,0,0,3.971528672,17.41035931,3.06397162,2.676206089,2.566391223,2.135474982
A10711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,15.75074737,5.18775491,0,0,0
A10713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.111290614,3.971528672,0,0,4.531210794,0,5.57238938
A10715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,5.930899289,0,0,0,2.135474982
A10802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,3.06397162,0,2.566391223,0
A11585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,7.351196798,0,16.01336447,0,0
A11644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,7.351196798,0,2.676206089,0,0
A12094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,3.06397162,0,6.696838555,0
A12096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,5.616318985,0,3.615673446
A12996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,4.345278063,4.48153404
A13110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785267048,0,0,0,0,3.971528672,0,0,2.676206089,0,0
A13118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,0,3.615673446
A13345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,3.502884662,0,0,2.566391223,2.135474982
A13707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,0,6.124164904,0
A14514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.660103905,0,0,0,3.971528672,0,3.06397162,2.676206089,0,2.135474982
A14958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,0,0,6.386215499,0,0
A15050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.21829176,0,0,3.971528672,0,0,0,0,5.095871909
A15092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971528672,3.502884662,0,0,5.385860158,0
A16282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57280236,0,3.971528672,0,0,14.08401593,5.385860158,8.636976481
A18071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.561491616,0,3.971528672,0,0,8.838398335,2.566391223,5.095871909
