,cannibals,tobago,angelfish,trinidado,summer_isles,summer_islands,barbados,islands,somers,sommer,guiana,bahamas,berreo,somer,morequito,guianian,caribs,sugarcane,bermuda,guyana,trinidad,amazon,west_indies,cannibal,tobacco,sugar,shipwreck,island,summer
A21497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,2.850654702,0,0,0
A21131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,11.15270939,7.531170153
A20946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,2.850654702,0,0,0
A20374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,6.563461137,3.504033698
A20081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,7.429040884,4.826577972,0,0,2.069538749
A20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.483349477,4.071369688,0,0,0,4.286799296,4.258735441,3.504033698
A19359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,4.258735441,0
A18305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,2.850654702,6.606712479,0,4.34315945
A17011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,3.915365439,0,0,2.531852721,0,0
A16701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,2.515277756,0
A16485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,5.982418989,7.458610627,7.022050493,5.400332872
A15775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,3.539977786,4.826577972,4.286799296,2.515277756,4.938528646
A14926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,3.915365439,0,0,0,0,2.069538749
A14665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,5.993703408,4.826577972,2.531852721,0,2.069538749
A14268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,3.915365439,0,0,0,0,2.069538749
A14114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.112590017,0,0,0,4.071369688,0,0,0,4.286799296,0,3.504033698
A13821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.408812307,4.071369688,0,0,6.802501242,0,11.30996545,9.305696633
A12609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,10.40191661,0
A11983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,0,2.069538749
A11246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,0,0
A11056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93026846,0,0,4.071369688,0,13.12641534,2.850654702,0,9.785365545,2.069538749
A10719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,0,2.069538749
A09881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,0,0
A09633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,0,0
A09135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,3.915365439,0,0,5.313377234,2.515277756,0
A09002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,2.515277756,0
A08874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,2.515277756,2.069538749
A08538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,5.982418989,2.531852721,8.765508178,6.096675204
A08428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,0,3.504033698
A08110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,0,0
A08092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,0,0
A07799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,5.313377234,2.515277756,2.069538749
A07254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,0,4.258735441,0
A06425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,4.258735441,3.504033698
A05781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93026846,0,0,4.071369688,0,0,0,2.531852721,2.515277756,7.377800833
A05102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,10.16243965,0,6.002193126,9.108448522
A02848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,3.915365439,0,0,0,2.515277756,0
A02791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,6.802501242,0,0,5.400332872
A02673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,5.993703408,5.982418989,0,0,2.069538749
A01516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,2.531852721,5.278592808,2.069538749
A00909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.071369688,0,0,0,6.041745872,8.546650397,4.938528646
B16379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.850654702,0,0,0
B16258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.826577972,2.531852721,0,3.504033698
B15781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93026846,0,0,0,0,0,0,0,0,0
B15648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.286799296,0,0
B15290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069538749
B15264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42845649,5.982418989,0,2.515277756,4.34315945
B15004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.850654702,2.531852721,2.515277756,0
B14927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.409782269,0
B14865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.606712479,0,4.938528646
B14779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.539977786,0,0,0,0
B14778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.993703408,0,0,0,3.504033698
B14755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.531852721,0,2.069538749
B14673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069538749
B14669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.504033698
B14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
