,cannibals,angelfish,trinidado,summer_isles,summer_islands,islands,somer,somers,sommer,guiana,bahamas,caribs,barbados,tobago,guianian,berreo,morequito,sugarcane,trinidad,bermuda,guyana,amazon,cannibal,west_indies,tobacco,sugar,shipwreck,island,summer
A69038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.411398713,5.302199421,0,0,8.447133456,0,0,2.805864075,2.700787691,0
B14004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.836281907,5.411398713,0,0,0,8.447133456,10.01708671,0,4.750740848,2.700787691,0
A06098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815094085,0,3.244545234,2.805864075,6.444874438,3.988965367
A08101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815094085,0,0,0,0,0
A08210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815094085,0,5.493492614,0,11.16909187,2.355947205
A09559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815094085,0,3.244545234,0,6.444874438,0
A12467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.411398713,5.302199421,0,0,6.815094085,0,3.244545234,0,4.572831064,2.355947205
A12469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.680511204,0,6.815094085,0,6.809042498,0,0,2.355947205
A14869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.680511204,0,6.815094085,0,3.244545234,2.805864075,0,3.988965367
A15072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815094085,3.588090886,0,2.805864075,9.628171344,8.573426944
A16495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.162294474,0,0,0,6.815094085,7.530011626,3.244545234,0,4.572831064,3.988965367
A17310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.302199421,4.680511204,4.300047399,6.815094085,11.47193237,10.37353976,9.534032278,10.92339642,9.843274243
A17808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.836281907,0,0,0,0,6.815094085,7.530011626,3.244545234,7.321728096,10.92339642,6.940408781
A17981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815094085,0,0,0,0,3.988965367
