"","...1","bermuda","somer","somers","summer_islands","summer_isles"
"1","A71306",28.70241102,0,0,0,0
"2","A71305",15.1073236,0,0,0,0
"3","A12461",23.44328591,0,0,0,0
"4","A09010",11.35642784,0,0,0,0
"5","A10231",20.74304576,0,0,0,0
"6","A06786",5.411398713,0,0,0,0
"7","A68617",9.162294474,0,0,0,0
"8","A15069",9.162294474,0,0,0,0
"9","A69038",5.411398713,0,0,0,0
"10","B14004",5.411398713,0,0,0,0
"11","A12467",5.411398713,0,0,0,0
"12","A16495",9.162294474,0,0,0,0
"13","B00963",9.162294474,0,0,0,0
"14","A11954",9.162294474,0,0,0,0
"15","A10226",5.411398713,0,0,0,0
"16","A11806",5.411398713,0,0,0,0
"17","A12689",5.411398713,0,0,0,0
"18","A14872",5.411398713,0,0,0,0
"19","A17451",5.411398713,0,0,0,0
"20","A21108",5.411398713,0,0,0,0
"21","A68848",5.411398713,0,0,0,0
"22","A72113",5.411398713,0,0,0,0
"23","A72217",9.162294474,0,0,0,0
"24","B11821",5.411398713,0,0,0,0
